,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,7.0,45.0,26,0.022707423580786028
1,1,BIG-T,7.0,135.0,33,0.028820960698689956
2,1,BIG-T,7.0,225.0,69,0.06026200873362445
3,1,BIG-T,7.0,315.0,35,0.03056768558951965
4,1,BIG-T,8.0,225.0,17,0.014847161572052401
6,1,BIG-T,12.0,0.0,6,0.005240174672489083
7,1,BIG-T,14.0,135.0,5,0.004366812227074236
8,1,BIG-T,17.0,0.0,160,0.13973799126637554
12,1,MIDDLE-T,2.0,0.0,9,0.007860262008733625
13,1,MIDDLE-T,3.0,0.0,5,0.004366812227074236
15,1,MIDDLE-T,6.0,135.0,5,0.004366812227074236
16,1,MIDDLE-T,6.0,180.0,44,0.03842794759825328
17,1,MIDDLE-T,7.0,0.0,6,0.005240174672489083
19,1,MIDDLE-T,8.0,180.0,43,0.03755458515283843
21,1,MIDDLE-T,9.0,180.0,33,0.028820960698689956
22,1,MIDDLE-T,11.0,45.0,6,0.005240174672489083
25,1,MIDDLE-T,12.0,135.0,6,0.005240174672489083
30,1,MIDDLE-T,23.0,45.0,4,0.0034934497816593887
32,1,PARALL,2.0,45.0,4,0.0034934497816593887
33,1,PARALL,2.0,90.0,6,0.005240174672489083
34,1,PARALL,3.0,45.0,8,0.0069868995633187774
36,1,PARALL,3.0,135.0,19,0.016593886462882096
37,1,PARALL,4.0,45.0,27,0.023580786026200874
38,1,PARALL,6.0,135.0,26,0.022707423580786028
40,1,PARALL,8.0,0.0,5,0.004366812227074236
41,1,PARALL,8.0,45.0,6,0.005240174672489083
42,1,PARALL,8.0,135.0,8,0.0069868995633187774
43,1,PARALL,9.0,45.0,19,0.016593886462882096
44,1,PARALL,12.0,45.0,6,0.005240174672489083
46,1,PARALL,14.0,135.0,4,0.0034934497816593887
47,1,PARALL,16.0,90.0,8,0.0069868995633187774
48,1,PARALL,17.0,90.0,4,0.0034934497816593887
49,1,PARALL,18.0,0.0,4,0.0034934497816593887
52,1,PARALL,20.0,135.0,4,0.0034934497816593887
54,1,PARALL,25.0,90.0,6,0.005240174672489083
55,1,SMALL-T,1.0,225.0,5,0.004366812227074236
56,1,SMALL-T,3.0,315.0,13,0.011353711790393014
58,1,SMALL-T,4.0,315.0,28,0.02445414847161572
59,1,SMALL-T,5.0,45.0,58,0.050655021834061134
60,1,SMALL-T,6.0,45.0,15,0.013100436681222707
63,1,SMALL-T,8.0,315.0,6,0.005240174672489083
