,sid,tangram nr,step,small triangle,middle triangle,big triangle,square,parallelogram
0,85931,1,1,set(),set(),"{(17.0, 0.0)}",set(),set()
1,85931,1,2,set(),set(),"{(17.0, 0.0)}","{(11.0, 0.0)}",set()
2,85931,1,3,"{(12.0, 135.0)}",set(),"{(17.0, 0.0)}","{(11.0, 0.0)}",set()
3,85931,1,4,"{(12.0, 135.0), (12.0, 315.0)}",set(),"{(17.0, 0.0)}","{(11.0, 0.0)}",set()
4,85931,1,5,"{(12.0, 135.0), (12.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 225.0)}","{(11.0, 0.0)}",set()
5,85931,1,6,"{(12.0, 135.0), (12.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}",set()
6,85931,1,7,"{(12.0, 135.0), (7.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}",set()
7,85931,1,8,"{(12.0, 135.0), (7.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}",set()
8,85931,1,9,"{(12.0, 135.0), (14.0, 45.0)}",set(),"{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}",set()
9,85931,1,10,"{(12.0, 135.0), (14.0, 45.0)}","{(14.0, 45.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}",set()
10,85931,1,11,"{(12.0, 135.0), (14.0, 45.0)}","{(14.0, 45.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(12.0, 0.0)}",set()
11,85931,1,12,"{(12.0, 135.0), (14.0, 45.0)}","{(14.0, 45.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(12.0, 0.0)}","{(4.0, 45.0)}"
12,85931,1,13,"{(12.0, 135.0), (14.0, 45.0)}","{(8.0, 180.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(12.0, 0.0)}","{(4.0, 45.0)}"
13,85931,1,14,"{(12.0, 135.0), (11.0, 45.0)}","{(8.0, 180.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(12.0, 0.0)}","{(4.0, 45.0)}"
14,85931,1,15,"{(5.0, 45.0), (11.0, 45.0)}","{(8.0, 180.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(12.0, 0.0)}","{(4.0, 45.0)}"
15,85931,1,16,"{(5.0, 45.0), (11.0, 45.0)}","{(8.0, 180.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(12.0, 0.0)}","{(4.0, 45.0)}"
16,85931,2,1,set(),set(),"{(13.0, 0.0)}",set(),set()
17,85931,2,2,set(),set(),"{(7.0, 225.0), (13.0, 0.0)}",set(),set()
18,85931,2,3,set(),set(),"{(7.0, 225.0), (8.0, 0.0)}",set(),set()
19,85931,2,4,set(),set(),"{(13.0, 0.0), (8.0, 0.0)}",set(),set()
20,85931,2,5,set(),set(),"{(13.0, 0.0), (8.0, 0.0)}",set(),"{(11.0, 45.0)}"
21,85931,2,6,set(),set(),"{(2.0, 0.0), (13.0, 0.0)}",set(),"{(11.0, 45.0)}"
22,85931,2,7,set(),"{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}",set(),"{(11.0, 45.0)}"
23,85931,2,8,set(),"{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
24,85931,2,9,"{(13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
25,85931,2,10,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
26,85931,2,11,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
27,85931,2,12,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
28,85931,2,13,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
