,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,2.0,0.0,7,0.006427915518824609
1,1,BIG-T,7.0,45.0,29,0.02662993572084481
2,1,BIG-T,7.0,135.0,34,0.031221303948576674
3,1,BIG-T,7.0,225.0,58,0.05325987144168962
4,1,BIG-T,7.0,315.0,45,0.04132231404958678
5,1,BIG-T,8.0,225.0,11,0.010101010101010102
6,1,BIG-T,12.0,0.0,6,0.005509641873278237
8,1,BIG-T,17.0,0.0,158,0.14508723599632692
9,1,BIG-T,17.0,180.0,6,0.005509641873278237
12,1,MIDDLE-T,2.0,0.0,6,0.005509641873278237
14,1,MIDDLE-T,3.0,180.0,4,0.0036730945821854912
17,1,MIDDLE-T,6.0,180.0,44,0.04040404040404041
19,1,MIDDLE-T,7.0,135.0,4,0.0036730945821854912
20,1,MIDDLE-T,8.0,180.0,38,0.03489439853076217
21,1,MIDDLE-T,9.0,180.0,26,0.023875114784205693
22,1,MIDDLE-T,11.0,45.0,4,0.0036730945821854912
25,1,MIDDLE-T,12.0,135.0,7,0.006427915518824609
27,1,MIDDLE-T,14.0,45.0,6,0.005509641873278237
29,1,MIDDLE-T,17.0,0.0,9,0.008264462809917356
31,1,MIDDLE-T,21.0,135.0,6,0.005509641873278237
33,1,PARALL,1.0,135.0,4,0.0036730945821854912
35,1,PARALL,2.0,90.0,6,0.005509641873278237
36,1,PARALL,3.0,45.0,6,0.005509641873278237
37,1,PARALL,3.0,90.0,7,0.006427915518824609
38,1,PARALL,3.0,135.0,18,0.01652892561983471
39,1,PARALL,4.0,45.0,23,0.021120293847566574
40,1,PARALL,6.0,135.0,22,0.020202020202020204
44,1,PARALL,8.0,45.0,6,0.005509641873278237
45,1,PARALL,9.0,45.0,24,0.02203856749311295
49,1,PARALL,14.0,135.0,6,0.005509641873278237
51,1,PARALL,17.0,90.0,6,0.005509641873278237
53,1,PARALL,20.0,90.0,5,0.004591368227731864
54,1,PARALL,24.0,45.0,5,0.004591368227731864
55,1,PARALL,24.0,135.0,4,0.0036730945821854912
56,1,PARALL,25.0,90.0,4,0.0036730945821854912
57,1,SMALL-T,1.0,225.0,6,0.005509641873278237
58,1,SMALL-T,2.0,225.0,4,0.0036730945821854912
59,1,SMALL-T,3.0,225.0,4,0.0036730945821854912
60,1,SMALL-T,3.0,315.0,12,0.011019283746556474
61,1,SMALL-T,4.0,45.0,4,0.0036730945821854912
62,1,SMALL-T,4.0,315.0,28,0.025711662075298437
63,1,SMALL-T,5.0,45.0,46,0.04224058769513315
64,1,SMALL-T,6.0,45.0,8,0.0073461891643709825
66,1,SMALL-T,8.0,135.0,5,0.004591368227731864
69,1,SMALL-T,9.0,315.0,16,0.014692378328741965
70,1,SMALL-T,11.0,45.0,38,0.03489439853076217
71,1,SMALL-T,11.0,135.0,4,0.0036730945821854912
72,1,SMALL-T,11.0,315.0,6,0.005509641873278237
